asset name,author,source URL,licence,asset type,file format,priority,intended use,local raw path,local processed path,Roblox Studio import status,notes / risks
"Medieval Village MegaKit","Quaternius","https://quaternius.com/packs/medievalvillagemegakit.html","CC0; use free base tier only","Downloadable environment kit","FBX; OBJ; glTF; Blend","P0-01","Ascension Grounds hub shells, district landmarks, walls, stairs, plaza accents","roblox/assets/raw/quaternius/medieval_village_megakit/","roblox/assets/processed/quaternius/medieval_village_megakit/","Skipped - manual download required","Official page verified CC0/free, but no direct shell-safe archive URL was exposed; see roblox/assets/manifests/manual_downloads.md."
"Fantasy Props MegaKit","Quaternius","https://quaternius.com/packs/fantasypropsmegakit.html","CC0; use free base tier only","Downloadable prop kit","FBX; OBJ; glTF","P0-02","Strength Forge props, anvil/forge silhouettes, chests, simple reward and station dressing","roblox/assets/raw/quaternius/fantasy_props_megakit/","roblox/assets/processed/quaternius/fantasy_props_megakit/","Skipped - manual download required","Official page verified CC0/free, but no direct shell-safe archive URL was exposed; see roblox/assets/manifests/manual_downloads.md."
"Stylized Nature MegaKit","Quaternius","https://quaternius.com/packs/stylizednaturemegakit.html","CC0; use free base tier only","Downloadable nature kit","FBX; OBJ; glTF","P0-03","Trees, bushes, rocks, route dressing, hub perimeter and Broken Gate path dressing","roblox/assets/raw/quaternius/stylized_nature_megakit/","roblox/assets/processed/quaternius/stylized_nature_megakit/","Skipped - manual download required","Official page verified CC0/free, but no direct shell-safe archive URL was exposed; see roblox/assets/manifests/manual_downloads.md."
"LowPoly Asset Pack","Uzii_Playz credit noted on report listing","https://create.roblox.com/store/asset/16267075451/LowPoly-Asset-Pack","Roblox Creator Store; report says listing is free; verify in Studio before insert","Creator Store model pack","Roblox Model","P0-04","Fast Roblox-native filler props for greyboxing and temporary path dressing","N/A - Creator Store manual insert only","N/A - quarantine in Studio before packaging","Inserted to Studio quarantine - pending approval","Inserted under ReplicatedStorage.ZeroToHeroAssets.CreatorStoreQuarantine on 2026-06-28. Scan found 32 descendants, 26 MeshParts, 0 scripts, and 0 remotes."
"Universal Base Characters","Quaternius","https://quaternius.com/packs/universalbasecharacters.html","CC0; use free base tier only","Downloadable character base","FBX; OBJ; glTF; Blend","P0-05","Hero/NPC humanoid base reference, guards, future class silhouettes","roblox/assets/raw/quaternius/universal_base_characters/","roblox/assets/processed/quaternius/universal_base_characters/","Skipped - manual download required","Official page verified CC0/free, but no direct shell-safe archive URL was exposed; see roblox/assets/manifests/manual_downloads.md."
"Modular Character Outfits - Fantasy","Quaternius","https://quaternius.com/packs/modularcharacteroutfitsfantasy.html","CC0; use free base tier only","Downloadable character outfit kit","FBX; OBJ; glTF; Blend","P0-06","Equipment silhouettes, armour pieces, class visual direction, Brakk/guard placeholders","roblox/assets/raw/quaternius/modular_character_outfits_fantasy/","roblox/assets/processed/quaternius/modular_character_outfits_fantasy/","Skipped - manual download required","Official page verified CC0/free, but no direct shell-safe archive URL was exposed; see roblox/assets/manifests/manual_downloads.md."
"Ultimate Monsters","Quaternius","https://quaternius.com/packs/ultimatemonsters.html","CC0","Downloadable enemy character pack","FBX; OBJ; Blend; glTF","P0-07","Lesser Slime and Broken Gate enemy placeholders, future elite/boss silhouettes","roblox/assets/raw/quaternius/ultimate_monsters/","roblox/assets/processed/quaternius/ultimate_monsters/","Skipped - manual download required","Official page verified CC0/free, but only a Google Drive folder button was exposed; see roblox/assets/manifests/manual_downloads.md."
"R6 Dummy","@WhosThatQuizmerioBro","https://create.roblox.com/store/asset/8246626421/R6-Dummy","Roblox Creator Store; report says no scripts noted; verify in Studio before insert","Creator Store model","Roblox Model","P0-08","Training dummy and immediate combat test target","N/A - Creator Store manual insert only","N/A - quarantine in Studio before packaging","Inserted to Studio quarantine - pending approval","Inserted under ReplicatedStorage.ZeroToHeroAssets.CreatorStoreQuarantine on 2026-06-28. Scan found 17 descendants, 7 Parts, 0 scripts, and 0 remotes."
"Sword of Darkness","@heartyTomato2111","https://create.roblox.com/store/asset/126183412074163/Sword-of-Darkness","Roblox Creator Store; report says listing is free; verify in Studio before insert","Creator Store weapon model","Roblox Model","P0-09","Starter sword placeholder and combat-feel test weapon","N/A - Creator Store manual insert only","N/A - quarantine in Studio before packaging","Inserted to Studio quarantine - blocked by embedded scripts","Inserted under ReplicatedStorage.ZeroToHeroAssets.CreatorStoreQuarantine on 2026-06-28. Scan found 20 descendants, 5 scripts/local scripts, 1 Sound, and 0 remotes. Do not approve until stripped to art-only parts or replaced."
"Free VFX Pack #1 By DogmathPan","@DogmathPan","https://create.roblox.com/store/asset/8621531267/Free-VFX-Pack-1-By-DogmathPan","Roblox Creator Store; report says free; verify in Studio before insert","Creator Store VFX pack","Roblox Model; particle effects","P0-10","Impact effects, stat gain pulses, magic baseline, reward feedback tests","N/A - Creator Store manual insert only","N/A - quarantine in Studio before packaging","Inserted to Studio quarantine - pending mobile VFX review","Inserted under ReplicatedStorage.ZeroToHeroAssets.CreatorStoreQuarantine on 2026-06-28. Scan found 261 descendants, 56 particle/beam/trail objects, 0 scripts, and 0 remotes. Reduce particle counts before live use."
